20230206	15:47:56	3fbbb9bf-dbde-48b6-955b-e69b8dab18f3	POST	undefined	/auth
20230206	15:49:37	0969dfd4-be4b-4995-bddb-2f10bf4ed0b2	POST	undefined	/register
20230206	15:50:43	e6bdf2fd-b33b-48f2-b822-69e4980ec555	POST	undefined	/auth
20230206	15:51:58	e62f0c81-ddf7-4ae4-aabd-be24e6042829	POST	undefined	/auth
20230206	17:35:38	dde143a6-4622-4d2e-bd33-a88bd0f46c8f	POST	undefined	/auth
20230206	17:38:42	1269930f-15e6-4f5d-b1e0-988c179e2ad8	POST	undefined	/auth
20230206	17:39:07	023e6d97-3aa0-4fd4-beb8-be58a6a24352	POST	undefined	/auth
20230206	17:39:28	8a9a5741-a643-4237-940d-b4bef35ced8f	GET	undefined	/employees
20230206	17:39:39	07ad03c4-9cba-4e84-be35-f718fc0f3649	POST	undefined	/auth
20230206	17:39:45	7127b09d-81b9-4c0d-8133-75560cd21a3a	GET	undefined	/employees
20230206	17:40:25	ec95adb1-6ff9-4c65-b4e7-ea619afa117f	GET	undefined	/employees
20230206	17:40:32	42cd05eb-9f78-4091-b1a6-18c17c70653f	POST	undefined	/auth
20230206	17:41:16	39cb662e-5bee-427c-8ef6-e1143bc2192d	POST	undefined	/auth
20230206	17:42:50	56ad2dca-8a4a-475f-a250-2abca70f40e1	POST	undefined	/auth
20230206	17:43:31	1b7f4626-93c4-4f1d-8462-39ccd5982bea	GET	undefined	/employees
20230206	17:43:39	cfb9e2ac-3f45-42e0-8dd9-93837466ea68	POST	undefined	/auth
20230206	17:43:52	c9c5e901-7209-42b7-a188-df5f2909fb5f	GET	undefined	/employees
20230206	18:36:57	196f9ab7-7b0c-4408-b925-ee0cefeb2f28	POST	undefined	/auth
20230206	18:37:24	c67d7571-6722-4cca-9d56-764e0ba2af92	PUT	undefined	/employees
20230206	18:37:44	70cb335c-2974-480c-841c-d83ee6474b50	POST	undefined	/employees
20230206	18:54:53	4d01779d-50d3-4aa5-a682-4794a1918e9e	POST	undefined	/auth
20230206	18:56:24	b8188373-2381-4ca2-8e9f-6b5f917a3321	GET	undefined	/refresh
20230206	18:57:14	431c3c39-06cc-4960-9ea8-79a1b0c17a71	POST	undefined	/auth
20230206	18:57:19	8c93e8b4-40bb-45cc-b2c1-24b7be9d7009	GET	undefined	/refresh
20230206	18:58:00	26673f8a-6a81-4781-8d35-d11abf5e1c30	POST	undefined	/auth
20230206	18:58:11	1fbc37db-9b95-4ca1-97db-fe946af61882	POST	undefined	/auth
20230206	18:58:20	4b6ce17e-423b-47e1-aea6-049dca343ee7	GET	undefined	/refresh
20230206	18:58:28	3a5de577-7e2b-4b24-963a-6c3ccd7a7046	GET	undefined	/refresh
20230206	18:58:30	404852cb-ac1b-462b-b4a8-42313dd94a73	GET	undefined	/refresh
20230206	18:58:31	ada3d2ae-fc34-4ecf-b8c7-fb41626a9267	GET	undefined	/refresh
20230206	18:58:33	5743a30d-33d0-48f0-8dac-3f344537a4f6	GET	undefined	/refresh
20230206	18:58:34	9bb84f1b-6cab-4f4b-8727-d9842c460d67	GET	undefined	/refresh
20230206	18:58:35	26a4352b-22e5-4472-8265-0f3a3863b741	GET	undefined	/refresh
20230206	19:35:52	3cd81059-5f1d-43d5-aa34-2fd063397d64	POST	undefined	/auth
20230206	19:36:39	94737b6c-bc47-41bb-8ecf-0117cb9537f8	POST	undefined	/auth
20230206	19:37:19	16dd9967-e3fe-465d-8d00-98c44a4d29fd	GET	undefined	/logout
